Time,Down,Type,Yards,Details,Montreal,Toronto
06:35,3,Punt Single,0,Quinn Sharp punts for 43 yards to Mtl0. No return (Single).,14,11
06:35,1,Rush,7,Tyrell Sutton rush for 7 yards to the Mtl42. Tackled by Jamie Robinson.,14,11
06:10,2,Rush,9,Tyrell Sutton rush for 9 yards to the Mtl51. Tackled by Matt Black.,14,11
05:22,1,Rush,12,Arland Bruce rush for 12 yards to the Tor47. Tackled by James Yurichuk.,14,11
04:53,1,Objectionable Conduct,10,Troy Smith pass to Arland Bruce for no gain to the Tor47. Tackled by  . Penalty: Objectionable Conduct on Toronto ( ) 10 yards.,14,11
04:13,2,Pass,5,Troy Smith pass to Arland Bruce for 5 yards to the Tor32. Tackled by  .,14,11
03:49,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce.,14,11
03:21,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Jerome Messam.,14,11
02:35,3,Field Goal Single,47,47 yard field goal attempt by Sean Whyte is NO GOOD (Single).,15,11
02:35,1,Rush,5,John Chiles rush for 5 yards to the Tor40. Tackled by Marc-Olivier Brouillette.,15,11
02:28,2,Sack,-8,Sack at Tor32 for a loss of 8 yards by Marc-Olivier Brouillette.,15,11
02:07,3,Punt,10,Quinn Sharp punts for 46 yards to Mtl32. Arland Bruce return for 10 yards to Mtl42. Tackled by Lance Milton.,15,11
01:39,1,Pass,6,Troy Smith pass to Arland Bruce for 6 yards to the Mtl48. Tackled by Jamie Robinson.,15,11
01:33,2,Rush,1,Tyrell Sutton rush for 1 yard to the Mtl49. Tackled by Herve Tonye-Tonye.,15,11
01:13,3,Punt,3,Burke Dales punts for 40 yards to Tor21. Trent Guy return for 3 yards to Tor24. Tackled by Michael Klassen.,15,11
00:43,1,Rush,2,Jerious Norwood rush for 2 yards to the Tor26. Tackled by Alan-Michael Cash.,15,11
00:37,2,Sack,-6,Sack at Tor20 for a loss of 6 yards by Chip Cox.,15,11
00:28,3,Punt,9,Quinn Sharp punts for 63 yards to Mtl27. Bo Bowling return for 9 yards to Mtl36. Tackled by Orhian Johnson.,15,11
15:00,0,Holding,12,Quinn Sharp kicks off to the Mtl8. Duron Carter return for 22 yards to Mtl30. Penalty: Holding on Montreal (Daryl Townsend) -10 yards.,15,11
14:51,1,Pass,22,Troy Smith pass to Duron Carter for 22 yards to the Mtl42. Tackled by Matt Black.,15,11
14:25,1,Rush,6,Tyrell Sutton rush for 6 yards to the Mtl48. Tackled by Major Culbert.,15,11
14:02,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter.,15,11
13:22,3,Punt,9,Burke Dales punts for 37 yards to Tor25. Trent Guy return for 9 yards to Tor34. Tackled by Ed Gainey.,15,11
13:02,1,Rush,8,Jerious Norwood rush for 8 yards to the Tor42. Tackled by Billy Parker.,15,11
12:51,2,Rush,4,Jerious Norwood rush for 4 yards to the Tor46. Tackled by Moton Hopkins.,15,11
11:58,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Trent Guy.,15,11
11:31,2,Pass,29,Trevor Harris pass to John Chiles for 29 yards to the Mtl35. Tackled by Mike Edem.,15,11
11:07,1,Rush,9,Jerious Norwood rush for 9 yards to the Mtl26. Tackled by Jerald Brown.,15,11
10:42,2,Rush,1,Trevor Harris rush for 1 yard to the Mtl25. Tackled by Billy Parker.,15,11
10:01,3,Rush,1,Trevor Harris rush for 1 yard to the Mtl24. Tackled by Michael Klassen.,15,11
09:15,1,Pass,13,Trevor Harris pass to Zander Robinson for 13 yards to the Mtl11. Tackled by Chip Cox.,15,11
08:41,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Jerious Norwood defensed by Mike Edem.,15,11
07:42,2,Pass,11,Trevor Harris pass to Darvin Adams for 11 yards for a TOUCHDOWN.,15,17
07:42,0,Blocked Extra Point,0,Quinn Sharp extra point is NO GOOD.  extra point is BLOCKED.,15,17
07:28,0,Holding,12,Quinn Sharp kicks off to the Mtl6. Bo Bowling return for 22 yards to Mtl28. Penalty: Holding on Montreal (Bo Adebayo) -10 yards.,15,17
07:19,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl20. Tackled by Jonathan Williams.,15,17
06:53,2,Pass,14,Troy Smith pass to S.J. Green for 14 yards to the Mtl34. Tackled by Jamie Robinson.,15,17
06:14,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl36. Tackled by Jonathan Williams.,15,17
05:33,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Duron Carter defensed by Jalil Carter.,15,17
05:02,3,Punt,7,Burke Dales punts for 52 yards to Tor22. Trent Guy return for 7 yards to Tor29. Tackled by Curtis Dublanko.,15,17
04:45,1,Incomplete Pass,0,Mitchell Gale incomplete pass intended for Trent Guy defensed by Geoff Tisdale.,15,17
04:34,2,Rush,2,Mitchell Gale rush for 2 yards to the Tor31. Tackled by John Bowman.,15,17
04:08,3,Holding,62,Quinn Sharp punts for 52 yards to Mtl27. Penalty: Holding on Montreal (Bo Adebayo) 10 yards.,15,17
03:45,1,Pass,0,Troy Smith pass to Jerome Messam for no gain to the Mtl17. Tackled by Herve Tonye-Tonye.,15,17
03:26,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Arland Bruce.,15,17
02:55,3,Punt,13,Burke Dales punts for 48 yards to Tor45. Trent Guy return for 13 yards to Mtl52. Tackled by Marc-Olivier Brouillette.,15,17
02:32,1,Rush,-1,Anthony Woodson rush for a loss of 1 yard to the Mtl53. Tackled by Chip Cox.,15,17
02:13,2,Incomplete Pass,0,Mitchell Gale incomplete pass intended for Trent Guy defensed by Geoff Tisdale.,15,17
01:35,3,Punt,-5,Quinn Sharp punts for 42 yards to Mtl11. Bo Bowling return for a loss of 5 yards to Mtl6. Tackled by Jamie Robinson.,15,17
01:05,1,Rush,0,Jerome Messam rush for no gain to the Mtl6. Tackled by Herve Tonye-Tonye.,15,17
00:33,2,Pass,-2,Troy Smith pass to Bo Bowling for a loss of 2 yards to the Mtl4. Tackled by  .,15,17
14:52,3,Safety,-4,Safety,15,19
14:52,0,Kickoff,27,Sean Whyte kicks off to the Tor24. Branden Smith return for 27 yards to Tor51. Tackled by Winston Venable.,15,19
