Time,Down,Type,Yards,Details,Saskatchewan,Winnipeg
07:02,3,Punt,-5,Mike Renaud punts for 44 yards to Ssk35. Tristan Jackson return for a loss of 5 yards to Ssk30. Tackled by Dan West.,9,7
06:35,1,Rush,13,Kory Sheets rush for 13 yards to the Ssk43. Tackled by Cauchy Muamba.,9,7
06:09,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,9,7
05:46,2,Sack,-9,Sack at Ssk34 for a loss of 9 yards by Alex Hall.,9,7
05:18,3,Punt,7,Ricky Schmitt punts for 43 yards to Wpg33. Demond Washington return for 7 yards to Wpg40. Tackled by Spencer Moore.,9,7
04:56,0,Too Many Men on Field,-10,Penalty: Too Many Men on Field on Winnipeg -10 yards.,9,7
04:52,1,Rush,16,Will Ford rush for 16 yards to the Wpg46. Tackled by Tyron Brackenridge.,9,7
04:31,2,Rush,2,Will Ford rush for 2 yards to the Wpg48. Tackled by Ricky Foley.,9,7
03:39,3,Fumble,5,"Mike Renaud punts for 42 yards to Ssk20. Tristan Jackson return for 5 yards to Ssk25. FUMBLE, recovered by Wpg ( ). Tackled by Tristan Jackson.",9,7
03:15,1,Sack,-6,Sack at Ssk31 for a loss of 6 yards by Keith Shologan.,9,7
02:54,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Clarence Denmark.,9,7
02:33,3,Missed Field Goal,38,Sandro DeAngelis 38 yard field goal attempt is GOOD.,9,10
02:33,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk39. Tackled by Demond Washington.,9,10
02:28,2,Pass,6,Darian Durant pass to Kory Sheets for 6 yards to the Ssk45. Tackled by Henoc Muamba.,9,10
02:23,1,Pass,3,Darian Durant pass to Rob Bagg for 3 yards to the Ssk48. Tackled by Alex Suber.,9,10
02:05,2,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the Wpg49. Tackled by Desia Dunn.,9,10
01:44,1,Pass,6,Darian Durant pass to Taj Smith for 6 yards to the Wpg43. Tackled by Ian Wild.,9,10
01:24,2,Pass,8,Darian Durant pass to Kory Sheets for 8 yards to the Wpg35. Tackled by Demond Washington.,9,10
01:04,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,9,10
00:47,2,Sack,-8,Sack at Wpg43 for a loss of 8 yards by Greg Peach.,9,10
00:21,3,Missed Field Goal,50,Chris Milo 50 yard field goal attempt is GOOD.,12,10
