Time,Down,Type,Yards,Details,Toronto,Winnipeg
15:00,0,Kickoff,11,Swayze Waters kicks off to the Wpg20. Johnny Sears return for 11 yards to Wpg31. Tackled by James Yurichuk.,0,0
14:56,1,Objectionable Conduct,28,Max Hall pass to   for 18 yards to the Wpg49. Tackled by Jamie Robinson. Penalty: Objectionable Conduct on Toronto (Robert McCune) 10 yards.,0,0
14:22,1,Rush,5,Will Ford rush for 5 yards to the Tor46. Tackled by Cleyon Laing.,0,0
13:47,2,Pass,22,Max Hall pass to Cory Watson for 22 yards to the Tor24.,0,0
13:20,1,Rush,17,Will Ford rush for 17 yards to the Tor7. Tackled by Demetrice Morley.,0,0
12:45,1,Pass,1,Max Hall pass to   for 1 yard to the Tor6. Tackled by Marcus Ball.,0,0
12:18,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Ricardo Colclough.,0,0
11:39,3,Missed Field Goal,13,Sandro DeAngelis 13 yard field goal attempt is GOOD.,0,3
11:39,0,Kickoff,26,Sandro DeAngelis kicks off to the Tor20. Chad Owens return for 26 yards to Tor46. Tackled by Sandro DeAngelis.,0,3
11:33,1,Pass,2,Ricky Ray pass to Andre Durie for 2 yards to the Tor48. Tackled by Johnny Sears.,0,3
10:57,2,Lateral,0,Ricky Ray pass intended for   INTERCEPTED by Alex Suber. No return. Lateral. Tackled by Chad Owens.,0,3
10:31,1,Interception,4,Max Hall pass intended for Terrence Edwards INTERCEPTED by Robert McCune and returned for 4 yards. Tackled by Cory Watson.,0,3
10:06,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jason Barnes.,0,3
09:45,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Brandon Stewart.,0,3
09:08,3,Missed Field Goal,37,Swayze Waters 37 yard field goal attempt is GOOD.,3,3
09:08,0,Kickoff,24,Swayze Waters kicks off to the Wpg10. Will Ford return for 24 yards to Wpg34. Tackled by Shane Horton.,3,3
09:03,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Wpg43. Tackled by Demetrice Morley.,3,3
08:18,2,Rush,3,Will Ford rush for 3 yards to the Wpg46. Tackled by David Lee.,3,3
07:39,1,Rush,-4,Will Ford rush for a loss of 4 yards to the Wpg42. Tackled by Shane Horton.,3,3
07:00,2,Incomplete Pass,0,Max Hall incomplete pass intended for Terrence Edwards.,3,3
06:36,3,No Yards,23,Mike Renaud punts for 38 yards to Tor30. Penalty: No Yards on Winnipeg (Johnny Sears) -15 yards.,3,3
06:15,1,Rush,4,Andre Durie rush for 4 yards to the Tor49. Tackled by Demond Washington.,3,3
05:46,2,Pass,11,Ricky Ray pass to   for 11 yards to the Wpg50. Tackled by Johnny Sears.,3,3
05:28,1,Rush,3,Jerious Norwood rush for 3 yards to the Wpg47. Tackled by Kenny Mainor.,3,3
04:56,2,Pass,-1,Ricky Ray pass to Chad Owens for a loss of 1 yard to the Wpg48. Tackled by Demond Washington.,3,3
04:26,3,No Yards,42,Swayze Waters punts for 47 yards to Wpg1. Penalty: No Yards on Toronto (Curtis Steele) -5 yards.,3,3
04:09,1,Pass,19,Max Hall pass to Cory Watson for 19 yards to the Wpg25. Tackled by Marcus Ball.,3,3
03:37,1,Pass,0,Max Hall pass to Clarence Denmark for no gain to the Wpg25. Tackled by Demetrice Morley.,3,3
02:56,2,Incomplete Pass,0,Max Hall incomplete pass intended for Akeem Foster.,3,3
02:32,3,Punt,31,Mike Renaud punts for 37 yards to Tor48. Julian Feoli-Gudino return for 31 yards to Wpg31. Tackled by Carl Volny.,3,3
02:01,1,Pass,5,Ricky Ray pass to Jerious Norwood for 5 yards to the Wpg26. Tackled by Johnny Sears.,3,3
01:03,2,Pass,26,Ricky Ray pass to Andre Durie for 26 yards for a TOUCHDOWN.,9,3
00:52,0,Made Extra Point,0,Swayze Waters extra point is good.,10,3
00:52,0,Kickoff,14,Swayze Waters kicks off to the Wpg17. Will Ford return for 14 yards to Wpg31. Tackled by James Yurichuk.,10,3
00:46,1,Pass,3,Max Hall pass to Cory Watson for 3 yards to the Wpg34. Tackled by Robert McCune.,10,3
00:01,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,10,3
15:00,3,Punt,14,Mike Renaud punts for 41 yards to Tor35. Chad Owens return for 14 yards to Tor49. Tackled by Teague Sherman.,10,3
14:41,1,Rush,-1,Jerious Norwood rush for a loss of 1 yard to the Tor48. Tackled by Ian Wild.,10,3
14:00,2,Pass,14,Ricky Ray pass to Jason Barnes for 14 yards to the Wpg48. Tackled by Jovon Johnson.,10,3
13:29,1,Pass,18,Ricky Ray pass to Jerious Norwood for 18 yards to the Wpg30. Tackled by Demond Washington.,10,3
12:48,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,10,3
12:39,0,Pass Interference,29,Penalty: Pass Interference on Winnipeg (Demond Washington) 29 yards.,10,3
11:59,1,Pass,1,Zach Collaros pass to Dontrelle Inman for 1 yard for a TOUCHDOWN.,16,3
11:46,0,Made Extra Point,0,Swayze Waters extra point is good.,17,3
11:46,0,Kickoff,24,Swayze Waters kicks off to the Wpg5. Will Ford return for 24 yards to Wpg29. Tackled by Jermaine Gabriel.,17,3
11:41,1,Rush,1,Carl Volny rush for 1 yard to the Wpg30. Tackled by Kiante Tripp.,17,3
11:04,2,Pass,7,Max Hall pass to Rory Kohlert for 7 yards to the Wpg37. Tackled by Herve Tonye-Tonye.,17,3
10:15,3,Punt,12,Mike Renaud punts for 52 yards to Tor21. Chad Owens return for 12 yards to Tor33. Tackled by Teague Sherman.,17,3
09:54,1,Rush,4,Jerious Norwood rush for 4 yards to the Tor37. Tackled by Demond Washington.,17,3
09:28,2,Sack,-7,Sack at Tor30 for a loss of 7 yards by Michael McAdoo.,17,3
08:52,3,Punt,12,Swayze Waters punts for 50 yards to Wpg30. Jovon Johnson return for 12 yards to Wpg42. Tackled by Shane Horton.,17,3
08:38,1,Rush,15,Will Ford rush for 15 yards to the Tor53. Tackled by Jalil Carter.,17,3
07:53,1,Fumble,3,"Max Hall rush for 3 yards to the Tor50. FUMBLE, recovered by Tor (Khalif Mitchell). Tackled by Jarvis Jones.",17,3
07:22,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Dontrelle Inman.,17,3
07:00,2,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Wpg50. Tackled by Ian Wild.,17,3
06:26,1,Rush,-1,Jerious Norwood rush for a loss of 1 yard to the Wpg51. Tackled by Demond Washington.,17,3
05:42,2,Unnecessary Roughness,23,Ricky Ray pass to Dontrelle Inman for 8 yards to the Wpg43. Tackled by Jovon Johnson. Penalty: Unnecessary Roughness on Winnipeg (JT Gilmore) 15 yards.,17,3
05:14,1,Pass,12,Ricky Ray pass to Chad Owens for 12 yards to the Wpg16. Tackled by Brandon Stewart.,17,3
04:33,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jerious Norwood.,17,3
04:09,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens.,17,3
03:29,3,Missed Field Goal,23,Swayze Waters 23 yard field goal attempt is GOOD.,20,3
03:29,1,Pass,7,Max Hall pass to Cory Watson for 7 yards to the Wpg42. Tackled by Demetrice Morley.,20,3
03:02,2,Pass,20,Max Hall pass to Terrence Edwards for 20 yards to the Tor48. Tackled by Pat Watkins.,20,3
02:38,1,Rush,3,Will Ford rush for 3 yards to the Tor45. Tackled by Demetrice Morley.,20,3
02:22,2,Unnecessary Roughness,26,Max Hall pass to   for 11 yards to the Tor34. Tackled by Pat Watkins. Penalty: Unnecessary Roughness on Toronto (Cleyon Laing) 15 yards.,20,3
01:58,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,20,3
01:53,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,20,3
01:49,3,Incomplete Pass,0,Mike Renaud incomplete pass intended for JT Gilmore defensed by Pat Watkins.,20,3
01:38,1,Pass,9,Ricky Ray pass to Jerious Norwood for 9 yards to the Tor28. Tackled by Ian Wild.,20,3
01:28,2,Rush,2,Jerious Norwood rush for 2 yards to the Tor30. Tackled by Jovon Johnson.,20,3
01:07,1,Rush,4,Curtis Steele rush for 4 yards to the Tor34. Tackled by Ian Wild.,20,3
00:55,2,Pass,21,Ricky Ray pass to Chad Owens for 21 yards to the Tor55. Tackled by Johnny Sears.,20,3
00:30,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,20,3
00:22,2,Pass,25,Ricky Ray pass to Jerious Norwood for 25 yards to the Wpg30. Tackled by Henoc Muamba.,20,3
00:00,1,Missed Field Goal,37,Swayze Waters 37 yard field goal attempt is GOOD.,23,3
15:00,0,Kickoff,28,Swayze Waters kicks off to the Wpg16. Will Ford return for 28 yards to Wpg44. Tackled by Jermaine Gabriel.,23,3
14:55,1,Incomplete Pass,0,Max Hall incomplete pass intended for   defensed by Ivan Brown.,23,3
14:33,2,Pass,10,Max Hall pass to Terrence Edwards for 10 yards to the Wpg54. Tackled by Robert McCune.,23,3
