Time,Down,Type,Yards,Details,Winnipeg,Montreal
05:57,3,No Yards,32,Sean Whyte punts for 47 yards to Wpg22. Penalty: No Yards on Montreal (Billy Parker) -15 yards.,8,3
05:32,1,Rush,-3,Will Ford rush for a loss of 3 yards to the Wpg34. Tackled by Michael Klassen.,8,3
04:33,2,Sack,-2,Sack at Wpg32 for a loss of 2 yards by Michael Klassen.,8,3
04:09,3,Punt,20,Mike Renaud punts for 56 yards to Mtl22. Noel Devine return for 20 yards to Mtl42. Tackled by Desia Dunn.,8,3
03:54,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl47. Tackled by Henoc Muamba.,8,3
03:25,2,Pass,11,Anthony Calvillo pass to Arland Bruce for 11 yards to the Wpg52. Tackled by Desia Dunn.,8,3
02:57,1,Rush,11,Brandon Whitaker rush for 11 yards to the Wpg41. Tackled by Demond Washington.,8,3
02:49,1,Rush,1,Brandon Whitaker rush for 1 yard to the Wpg40. Tackled by Zach Anderson.,8,3
02:32,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,8,3
02:15,2,Pass,10,Anthony Calvillo pass to Brandon Whitaker for 10 yards to the Wpg35. Tackled by Cauchy Muamba.,8,3
02:08,3,Missed Field Goal,22,47 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Jovon Johnson to the Wpg10. Tackled by Patrick Lavoie.,8,3
01:37,1,Rush,6,Chad Simpson rush for 6 yards to the Wpg16. Tackled by Scooter Berry.,8,3
01:33,2,Rush,6,Chad Simpson rush for 6 yards to the Wpg22. Tackled by Marc-Olivier Brouillette.,8,3
01:14,1,Sack,-4,Sack at Wpg18 for a loss of 4 yards by Geoff Tisdale.,8,3
00:55,2,Pass,13,Buck Pierce pass to Chad Simpson for 13 yards to the Wpg31. Tackled by Mike Edem.,8,3
00:47,3,No Yards,36,Mike Renaud punts for 41 yards to Mtl38. Penalty: No Yards on Winnipeg (Desia Dunn) -5 yards.,8,3
00:24,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,8,3
00:20,2,Sack,-6,Sack at Mtl37 for a loss of 6 yards by Zach Anderson.,8,3
00:14,3,Punt,5,Sean Whyte punts for 39 yards to Wpg34. Jovon Johnson return for 5 yards to Wpg39.,8,3
00:05,1,Rush,-3,Will Ford rush for a loss of 3 yards to the Mtl42. Tackled by Scooter Berry.,8,3
00:01,2,Rush,10,Will Ford rush for 10 yards to the Mtl26.,8,3
15:00,0,Kickoff,16,Justin Palardy kicks off to the Mtl15. Noel Devine return for 16 yards to Mtl31. Tackled by Brandon Stewart.,8,3
14:53,1,Sack,-9,Sack at Mtl22 for a loss of 9 yards by Zach Anderson.,8,3
14:00,2,Pass,7,Anthony Calvillo pass to S.J. Green for 7 yards to the Mtl29. Tackled by Terrell Parker.,8,3
13:31,3,Punt,2,Sean Whyte punts for 42 yards to Wpg39. Jovon Johnson return for 2 yards to Wpg41. Tackled by Daryl Townsend.,8,3
13:07,1,Rush,17,Chad Simpson rush for 17 yards to the Mtl52. Tackled by Chip Cox.,8,3
12:43,1,Rush,5,Chad Simpson rush for 5 yards to the Mtl47. Tackled by Ejiro Kuale.,8,3
12:18,2,Sack,-4,Sack at Mtl51 for no gain by Kyries Hebert Recovered by Mtl (John Bowman). Tackled by Steve Morley,8,3
11:44,1,Rush,4,Noel Devine rush for 4 yards to the Mtl55. Tackled by Henoc Muamba.,8,3
11:06,0,Holding,-10,Penalty: Holding on Montreal (Andrew Woodruff) -10 yards.,8,3
10:34,2,Pass,3,Anthony Calvillo pass to Brandon Whitaker for 3 yards to the Mtl48. Tackled by Terrell Parker.,8,3
10:00,3,Punt,10,Sean Whyte punts for 49 yards to Wpg13. Demond Washington return for 10 yards to Wpg23. Tackled by Patrick Lavoie.,8,3
09:32,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Cory Watson.,8,3
09:16,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,8,3
08:53,3,Punt,0,Mike Renaud punts for 41 yards to Mtl46. No return.,8,3
08:35,1,Rush,0,Brandon Whitaker rush for no gain to the Mtl46. Tackled by Alex Hall.,8,3
08:01,2,Sack,-3,Sack at Mtl43 for a loss of 3 yards by Bryant Turner.,8,3
07:28,3,Punt,5,Sean Whyte punts for 41 yards to Wpg26. Jovon Johnson return for 5 yards to Wpg31. Tackled by Kyries Hebert.,8,3
07:04,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg34. Tackled by Ejiro Kuale.,8,3
06:35,2,Pass,6,Buck Pierce pass to Chad Simpson for 6 yards to the Wpg40. Tackled by Geoff Tisdale.,8,3
05:55,3,Punt,4,Mike Renaud punts for 51 yards to Mtl19. Noel Devine return for 4 yards to Mtl23.,8,3
05:40,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,8,3
05:24,2,Sack,-8,Sack at Mtl15 for a loss of 8 yards by Bryant Turner.,8,3
04:58,3,Punt,1,Sean Whyte punts for 35 yards to Mtl50. Jovon Johnson return for 1 yard to Mtl49. Tackled by Daryl Townsend.,8,3
04:39,1,Rush,4,Buck Pierce rush for 4 yards to the Mtl45.,8,3
