Time,Down,Type,Yards,Details,Toronto,Winnipeg
15:00,0,Kickoff,25,Anthony Alix kicks off to the Wpg19. Trevor Kennedy return for 25 yards to Wpg44. Tackled by Jason Pottinger.,0,0
14:54,1,Rush,7,Buck Pierce rush for 7 yards to the Wpg51. Tackled by Bryan Payton.,0,0
14:14,2,Rush,3,Chad Simpson rush for 3 yards to the Wpg54. Tackled by Jonathan Williams.,0,0
13:32,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Jameze Massey.,0,0
13:08,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Isaac Anderson.,0,0
12:47,3,Punt,3,Mike Renaud punts for 47 yards to Tor9. Quincy Hurst return for 3 yards to Tor12. Tackled by Rene Stephan.,0,0
12:32,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Juaquin Iglesias.,0,0
12:23,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Juaquin Iglesias.,0,0
12:07,3,Punt,0,Anthony Alix punts for 25 yards to Tor37. No return.,0,0
11:50,1,Rush,6,Chad Simpson rush for 6 yards to the Tor31. Tackled by Christopher Lyle.,0,0
11:29,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Isaac Anderson.,0,0
11:08,3,Missed Field Goal,27,47 yard field goal attempt by Justin Palardy is NO GOOD.  Missed field goal returned by Quincy Hurst to the Tor11.,0,0
10:44,1,Rush,7,Gerald Riggs Jr. rush for 7 yards to the Tor18. Tackled by Terrell Parker.,0,0
10:21,2,Rush,2,Gerald Riggs Jr. rush for 2 yards to the Tor20. Tackled by Terrell Parker.,0,0
09:38,3,Punt,6,Anthony Alix punts for 40 yards to Wpg50. Jameze Massey return for 6 yards to Tor54. Tackled by Juaquin Iglesias.,0,0
09:13,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Cory Watson.,0,0
08:54,2,Interception,0,Buck Pierce pass intended for Isaac Anderson INTERCEPTED by Matt Black. No return. Tackled by Isaac Anderson.,0,0
08:28,1,Pass,37,Trevor Harris pass to Spencer Watt for 37 yards to the Tor51. Tackled by Brandon Stewart.,0,0
07:51,1,Pass,25,Trevor Harris pass to Trent Guy for 25 yards to the Wpg34. Tackled by Desia Dunn.,0,0
06:56,1,Pass,2,Trevor Harris pass to John Chiles for 2 yards to the Wpg32. Tackled by Jovon Johnson.,0,0
06:25,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Reggie Williams.,0,0
06:09,3,Missed Field Goal,37,48 yard field goal attempt by Anthony Alix is NO GOOD.  Missed field goal returned by Jameze Massey to the Wpg21. Tackled by Nekos Brown.,0,0
05:44,1,Rush,7,Chris Garrett rush for 7 yards to the Wpg28. Tackled by Mister Alexander.,0,0
05:09,2,Rush,6,Chris Garrett rush for 6 yards to the Wpg34. Tackled by Jonathan Williams.,0,0
04:44,1,Incomplete Pass,0,Max Hall incomplete pass defensed by Jonathan Williams.,0,0
04:34,2,Pass,32,Max Hall pass to Chris Matthews for 32 yards to the Tor44. Tackled by Shane Herbert.,0,0
03:47,1,Pass,5,Max Hall pass to Cory Watson for 5 yards to the Tor39. Tackled by Joshua Gatlin.,0,0
03:15,2,Pass,13,Max Hall pass to Isaac Anderson for 13 yards to the Tor26. Tackled by Jamie Robinson.,0,0
02:34,1,Incomplete Pass,0,Max Hall incomplete pass intended for Michel-Pierre Pontbriand.,0,0
02:18,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Alonzo Lawrence.,0,0
01:46,3,Missed Field Goal,33,Justin Palardy 33 yard field goal attempt is GOOD.,0,3
01:46,0,Kickoff,21,Justin Palardy kicks off to the Tor12. Quincy Hurst return for 21 yards to Tor33. Tackled by Michel-Pierre Pontbriand.,0,3
01:21,1,Pass,4,Trevor Harris pass to Gerald Riggs Jr. for 4 yards to the Tor37. Tackled by JT Gilmore.,0,3
01:03,2,Pass,13,Trevor Harris pass to Juaquin Iglesias for 13 yards to the Tor50. Tackled by Desia Dunn.,0,3
00:27,1,Rush,5,Gerald Riggs Jr. rush for 5 yards to the Tor55. Tackled by Desia Dunn.,0,3
00:01,2,Pass,8,Trevor Harris pass to Romby Bryant for 8 yards to the Wpg47. Tackled by David James.,0,3
15:00,1,Pass,17,Trevor Harris pass to Spencer Watt for 17 yards to the Wpg30. Tackled by Desia Dunn.,0,3
14:29,1,Pass,9,Trevor Harris pass to Gerald Riggs Jr. for 9 yards to the Wpg21. Tackled by Ian Wild.,0,3
14:02,2,Rush,1,Zach Collaros rush for 1 yard to the Wpg20. Tackled by Ian Wild.,0,3
13:11,1,Rush,20,Gerald Riggs Jr. rush for 20 yards for a TOUCHDOWN.,6,3
