Time,Down,Type,Yards,Details,Hamilton,Winnipeg
07:12,1,Pass,-1,Henry Burris pass to Chevon Walker for a loss of 1 yard to the Wpg8. Tackled by Johnny Sears.,3,6
06:08,2,Pass,8,Henry Burris pass to Onrea Jones for 8 yards for a TOUCHDOWN.,9,6
05:58,0,Made Extra Point,0,Luca Congi extra point is good.,10,6
05:58,0,Kickoff,13,Luca Congi kicks off to the Wpg12. Mario Fannin return for 13 yards to Wpg25. Tackled by Courtney Stephen.,10,6
05:52,1,Pass,7,Max Hall pass to Rory Kohlert for 7 yards to the Wpg32. Tackled by Ryan Lacy.,10,6
05:20,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by  .,10,6
04:58,3,No Yards,25,Mike Renaud punts for 30 yards to Ham48. Penalty: No Yards on Winnipeg (Teague Sherman) -5 yards.,10,6
04:34,1,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ham51. Tackled by Demond Washington.,10,6
03:53,2,Incomplete Pass,0,Henry Burris incomplete pass intended for  .,10,6
03:34,3,Punt,0,Josh Bartel punts for 58 yards to Wpg1. Jovon Johnson return for no gain to Wpg1. Tackled by  .,10,6
03:17,1,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,10,6
02:58,2,Pass,13,Max Hall pass to Wallace Miles for 13 yards to the Wpg14. Tackled by Dee Webb.,10,6
02:40,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Courtney Stephen.,10,6
02:20,2,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,10,6
02:13,3,Punt,4,Mike Renaud punts for 43 yards to Ham53. Tavoy Moore return for 4 yards to Wpg53. Tackled by James Green.,10,6
02:05,1,Pass,12,Henry Burris pass to Onrea Jones for 12 yards to the Wpg41. Tackled by Cauchy Muamba.,10,6
01:59,1,Rush,9,Dan LeFevour rush for 9 yards to the Wpg32. Tackled by Zach Anderson.,10,6
01:41,2,Rush,18,Dan LeFevour rush for 18 yards to the Wpg14. Tackled by Brandon Stewart.,10,6
01:22,1,Pass,5,Henry Burris pass to Onrea Jones for 5 yards to the Wpg9. Tackled by Demond Washington.,10,6
01:08,2,Unnecessary Roughness,24,Henry Burris pass to Onrea Jones for 9 yards for a TOUCHDOWN. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 15 yards.,16,6
00:43,0,Made Extra Point,0,Luca Congi extra point is good.,17,6
00:43,0,Kickoff,14,Luca Congi kicks off to the Wpg7. Mario Fannin return for 14 yards to Wpg21. Tackled by Louie Richardson.,17,6
00:39,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,17,6
00:38,2,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,17,6
00:35,3,No Yards,19,Mike Renaud punts for 34 yards to Wpg55. Penalty: No Yards on Winnipeg (James Green) -15 yards.,17,6
00:28,1,Incomplete Pass,0,Henry Burris incomplete pass intended for  .,17,6
00:23,2,Pass,5,Henry Burris pass to Samuel Giguere for 5 yards to the Wpg35. Tackled by Alex Suber.,17,6
00:01,0,Blocked Field Goal,-19,Field goal attempt is BLOCKED by Bryant Turner.  Recovered by Wpg (Pierre-Luc Labbe). Tackled by Luca Congi,17,6
15:00,0,Kickoff,19,Sandro DeAngelis kicks off to the Ham24. Tavoy Moore return for 19 yards to Ham43. Tackled by Alex Suber.,17,6
14:51,1,Rush,34,Chevon Walker rush for 34 yards to the Wpg33. Tackled by Jovon Johnson.,17,6
14:24,1,Pass,18,Dan LeFevour pass to Chevon Walker for 18 yards to the Wpg15. Tackled by Henoc Muamba.,17,6
14:01,1,Sack,-2,Sack at Wpg17 for a loss of 2 yards by Jake Thomas.,17,6
13:20,2,Pass,6,Dan LeFevour pass to Dobson Collins for 6 yards to the Wpg11. Tackled by Johnny Sears.,17,6
12:35,3,Missed Field Goal,18,Luca Congi 18 yard field goal attempt is GOOD.,20,6
12:35,1,Rush,17,Will Ford rush for 17 yards to the Wpg52. Tackled by Neil King.,20,6
12:05,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,20,6
11:40,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Craig Marshall.,20,6
11:16,3,Punt,4,Mike Renaud punts for 34 yards to Ham24. Tavoy Moore return for 4 yards to Ham28. Tackled by Henoc Muamba.,20,6
11:01,1,Pass,6,Dan LeFevour pass to Samuel Giguere for 6 yards to the Ham34. Tackled by Brandon Stewart.,20,6
10:39,2,Rush,6,Dan LeFevour rush for 6 yards to the Ham40. Tackled by Ian Wild.,20,6
10:02,1,Unnecessary Roughness,85,Chevon Walker rush for 70 yards for a TOUCHDOWN. Penalty: Unnecessary Roughness on Winnipeg (Desia Dunn) 15 yards.,26,6
05:27,0,Made Extra Point,0,Luca Congi extra point is good.,27,6
09:27,0,Kickoff,23,Luca Congi kicks off to the Wpg1. Mario Fannin return for 23 yards to Wpg24. Tackled by C.O. Prime.,27,6
09:18,1,Pass,10,Max Hall pass to Rory Kohlert for 10 yards to the Wpg34. Tackled by Arthur Hobbs.,27,6
08:30,1,Rush,9,Mario Fannin rush for 9 yards to the Wpg43. Tackled by Neil King.,27,6
07:49,2,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg42. Tackled by  .,27,6
07:08,3,Punt,6,Mike Renaud punts for 48 yards to Ham20. Tavoy Moore return for 6 yards to Ham26. Tackled by Philippe Dubuisson-Lebon.,27,6
06:44,1,Pass,3,Dan LeFevour pass to Tavoy Moore for 3 yards to the Ham29. Tackled by Henoc Muamba.,27,6
06:02,2,Rush,3,Dan LeFevour rush for 3 yards to the Ham32. Tackled by Johnny Sears.,27,6
05:40,3,Punt,7,Josh Bartel punts for 40 yards to Wpg38. Jovon Johnson return for 7 yards to Wpg45. Tackled by Matt Bucknor.,27,6
05:28,1,Pass,9,Max Hall pass to Mario Fannin for 9 yards to the Wpg54. Tackled by Dee Webb.,27,6
05:06,2,Rush,3,Jason Boltus rush for 3 yards to the Ham53. Tackled by Marcellus Bowman.,27,6
04:31,1,Pass,3,Max Hall pass to Mario Fannin for 3 yards to the Ham50. Tackled by Frederic Plesius.,27,6
03:50,2,Pass,5,Max Hall pass to Rory Kohlert for 5 yards to the Ham45. Tackled by Ryan Lacy.,27,6
03:08,3,Fumble,-2,"Will Ford rush for a loss of 2 yards to the Ham47. FUMBLE, recovered by Ham (James Rogers). Tackled by Will Ford.",27,6
02:34,1,Rush,1,Chevon Walker rush for 1 yard to the Ham48. Tackled by Henoc Muamba.,27,6
01:57,2,Pass,17,Dan LeFevour pass to Onrea Jones for 17 yards to the Wpg45. Tackled by Brandon Stewart.,27,6
01:12,1,Rush,0,Chevon Walker rush for no gain to the Wpg45. Tackled by Henoc Muamba.,27,6
00:31,2,Pass,13,Dan LeFevour pass to Samuel Giguere for 13 yards to the Wpg32. Tackled by Desia Dunn.,27,6
00:01,1,Pass,14,Dan LeFevour pass to Brandon Banks for 14 yards to the Wpg18. Tackled by Brandon Stewart.,27,6
15:00,1,Pass,-1,Dan LeFevour pass to Brandon Banks for a loss of 1 yard to the Wpg19. Tackled by Johnny Sears.,27,6
14:25,2,Rush,4,Dan LeFevour rush for 4 yards to the Wpg15.,27,6
13:31,3,Missed Field Goal,23,Luca Congi 23 yard field goal attempt is GOOD.,30,6
13:31,1,Pass,6,Max Hall pass to Rory Kohlert for 6 yards to the Wpg41. Tackled by Ryan Lacy.,30,6
13:03,2,Pass,21,Max Hall pass to Clarence Denmark for 21 yards to the Ham48. Tackled by Ryan Lacy.,30,6
12:31,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,30,6
12:20,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly defensed by James Rogers.,30,6
11:42,3,Punt Single,0,Mike Renaud punts for 53 yards to Ham0. No return (Single).,30,7
11:42,1,Rush,2,Dan LeFevour rush for 2 yards to the Ham37. Tackled by Desia Dunn.,30,7
11:00,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Dobson Collins.,30,7
10:41,3,Punt,10,Josh Bartel punts for 48 yards to Wpg25. Demond Washington return for 10 yards to Wpg35. Tackled by Matt Bucknor.,30,7
10:13,1,Pass,6,Max Hall pass to Cory Watson for 6 yards to the Wpg41. Tackled by Frederic Plesius.,30,7
09:47,2,Pass,14,Max Hall pass to Cory Watson for 14 yards to the Wpg55. Tackled by Neil King.,30,7
09:18,0,Tripping,10,Penalty: Tripping on Hamilton (Ray Shipman) 10 yards.,30,7
09:05,1,Pass,3,Max Hall pass to Rory Kohlert for 3 yards to the Ham42. Tackled by Arthur Hobbs.,30,7
08:39,2,Pass,18,Max Hall pass to Wallace Miles for 18 yards to the Ham24. Tackled by Dee Webb.,30,7
08:08,1,Pass,5,Max Hall pass to Aaron Kelly for 5 yards to the Ham19. Tackled by James Rogers.,30,7
07:35,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,30,7
07:15,3,Interception,15,Max Hall pass intended for Clarence Denmark INTERCEPTED by Arthur Hobbs and returned for 15 yards. Tackled by Rory Kohlert.,30,7
06:47,1,Pass,7,Dan LeFevour pass to Onrea Jones for 7 yards to the Ham14. Tackled by Johnny Sears.,30,7
06:18,2,Rush,-1,Chevon Walker rush for a loss of 1 yard to the Ham13. Tackled by Desia Dunn.,30,7
05:45,3,Punt,-3,Josh Bartel punts for 37 yards to Ham50. Demond Washington return for a loss of 3 yards to Ham53. Tackled by Marc Beswick.,30,7
05:14,1,Pass,7,Jason Boltus pass to Wallace Miles for 7 yards to the Ham46. Tackled by Dee Webb.,30,7
04:16,2,Sack,34,Sack at Wpg49 for no gain by Eric Norwood Recovered by Ham (C.O. Prime) and returned for 49 yards for a TOUCHDOWN,36,7
03:56,0,Made Extra Point,0,Luca Congi extra point is good.,37,7
03:56,0,Kickoff,21,Luca Congi kicks off to the Wpg18. Mario Fannin return for 21 yards to Wpg39. Tackled by Marcellus Bowman.,37,7
03:50,1,Rush,6,Will Ford rush for 6 yards to the Wpg45. Tackled by James Rogers.,37,7
03:12,2,Incomplete Pass,0,Jason Boltus incomplete pass intended for Will Ford defensed by Craig Marshall.,37,7
02:57,3,Punt,30,Mike Renaud punts for 41 yards to Ham24. Tavoy Moore return for 30 yards to Ham54. Tackled by Brandon Stewart.,37,7
02:27,1,Rush,1,Chevon Walker rush for 1 yard to the Ham55. Tackled by Henoc Muamba.,37,7
02:22,2,Rush,10,Chevon Walker rush for 10 yards to the Wpg45. Tackled by Ian Wild.,37,7
01:58,1,Rush,-3,Chevon Walker rush for a loss of 3 yards to the Wpg48. Tackled by Jake Thomas.,37,7
01:33,2,Rush,5,Dan LeFevour rush for 5 yards to the Wpg43. Tackled by Brandon Stewart.,37,7
01:05,3,Punt,0,Josh Bartel punts for 42 yards to Wpg1. No return.,37,7
00:45,1,Incomplete Pass,0,Jason Boltus incomplete pass intended for Aaron Kelly.,37,7
00:40,2,Rush,11,Jason Boltus rush for 11 yards to the Wpg12.,37,7
00:34,1,Incomplete Pass,0,Jason Boltus incomplete pass intended for Aaron Kelly.,37,7
00:29,2,Interception,0,Jason Boltus pass intended for Aaron Kelly INTERCEPTED by James Rogers. No return. Tackled by Aaron Kelly.,37,7
