Time,Down,Type,Yards,Details,Winnipeg,Hamilton
15:00,0,Kickoff,12,Luca Congi kicks off to the Wpg15. Trevor Kennedy return for 12 yards to Wpg27. Tackled by Marc Beswick.,0,0
14:52,1,Pass,12,Justin Goltz pass to Doug Pierce for 12 yards to the Wpg39. Tackled by Arthur Hobbs.,0,0
14:29,1,Pass,6,Justin Goltz pass to Jade Etienne for 6 yards to the Wpg45. Tackled by Dee Webb.,0,0
13:59,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Quintin McCree defensed by Ricardo Colclough.,0,0
13:25,3,Punt,16,Mike Renaud punts for 55 yards to Ham10. Lindsey Lamar return for 16 yards to Ham26. Tackled by Doug Pierce.,0,0
13:04,1,Pass,14,Henry Burris pass to Andy Fantuz for 14 yards to the Ham40. Tackled by Teague Sherman.,0,0
12:48,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Justin Hilton.,0,0
12:25,2,Sack,-5,Sack at Ham35 for a loss of 5 yards by Freddie Harris.,0,0
11:51,3,Holding,57,Josh Bartel punts for 47 yards to Wpg28. Penalty: Holding on Winnipeg 10 yards.,0,0
11:34,1,Pass,11,Justin Goltz pass to Doug Pierce for 11 yards to the Wpg29. Tackled by Arthur Hobbs.,0,0
11:10,1,Rush,4,Chris Garrett rush for 4 yards to the Wpg33. Tackled by Terrence Moore.,0,0
10:43,2,Interception,17,Justin Goltz pass intended for Trevor Kennedy INTERCEPTED by Erik Harris and returned for 17 yards. Tackled by Quintin McCree.,0,0
10:03,1,Pass,26,Henry Burris pass to Greg Ellingson for 26 yards to the Wpg12. Tackled by David James.,0,0
09:23,1,Rush,11,Henry Burris rush for 11 yards to the Wpg1. Tackled by Marquis Frazier.,0,0
08:47,1,Rush,0,Henry Burris rush for no gain to the Wpg1. Tackled by Dan West.,0,0
07:17,2,Rush,1,Chevon Walker rush for 1 yard for a TOUCHDOWN.,0,6
06:58,0,Made Extra Point,0,Luca Congi extra point is good.,0,7
06:58,0,Kickoff,16,Luca Congi kicks off to the Wpg11. Chris Garrett return for 16 yards to Wpg27. Tackled by Ryan Hinds.,0,7
06:52,1,Rush,9,Chris Garrett rush for 9 yards to the Wpg36. Tackled by Brandon Boudreaux.,0,7
06:18,2,Offside,5,Penalty: Offside on Hamilton (Terrence Moore) 5 yards.,0,7
06:00,1,Sack,-1,Sack at Wpg40 for a loss of 1 yard by Markeith Knowlton.,0,7
05:35,0,Roughing Passer,15,Penalty: Roughing Passer on Hamilton (Brian Bulcke) 15 yards.,0,7
04:58,1,Fumble,-4,"Chris Garrett rush for a loss of 4 yards to the Wpg51. FUMBLE, recovered by Ham (Erik Harris). Tackled by Andre Douglas.",0,7
04:31,1,Sack,-4,Sack at Ham55 for a loss of 4 yards by Jake Thomas.,0,7
04:11,2,Pass,9,Henry Burris pass to Onrea Jones for 9 yards to the Wpg46. Tackled by Teague Sherman.,0,7
03:35,3,Punt,0,Josh Bartel punts for 36 yards to Wpg10. No return.,0,7
03:17,1,Pass,6,Justin Goltz pass to Brett Carter for 6 yards to the Wpg16. Tackled by Ricardo Colclough.,0,7
02:43,2,Pass,6,Justin Goltz pass to Doug Pierce for 6 yards to the Wpg22. Tackled by Dee Webb.,0,7
02:14,1,Pass,6,Justin Goltz pass to Jade Etienne for 6 yards to the Wpg28. Tackled by Evan McCollough.,0,7
01:42,2,Pass,7,Justin Goltz pass to Doug Pierce for 7 yards to the Wpg35. Tackled by Evan McCollough.,0,7
01:23,1,Rush,-5,Quintin McCree rush for a loss of 5 yards to the Wpg30. Tackled by Ricardo Colclough.,0,7
00:50,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Trevor Kennedy defensed by Arthur Hobbs.,0,7
00:00,3,Punt,78,Mike Renaud punts for 48 yards to Ham32. Lindsey Lamar return for 78 yards to Wpg0 for a TOUCHDOWN.,0,13
00:00,0,Made Extra Point,0,Luca Congi extra point is good.,0,14
