Time,Down,Type,Yards,Details,Winnipeg,Hamilton
15:00,0,Kickoff,16,Justin Palardy kicks off to the Ham21. Lindsey Lamar return for 16 yards to Ham37. Tackled by Pierre-Luc Labbe.,0,0
14:54,1,Pass,5,Henry Burris pass to Samuel Giguere for 5 yards to the Ham42. Tackled by Henoc Muamba.,0,0
14:10,2,Rush,5,Henry Burris rush for 5 yards to the Ham47. Tackled by Jake Thomas.,0,0
13:36,3,Rush,2,Henry Burris rush for 2 yards to the Ham49. Tackled by Jake Thomas.,0,0
12:47,1,Pass,61,Henry Burris pass to Samuel Giguere for 61 yards for a TOUCHDOWN.,0,6
12:37,0,Made Extra Point,0,Luca Congi extra point is good.,0,7
12:38,0,Kickoff,19,Luca Congi kicks off to the Wpg0. Will Ford return for 19 yards to Wpg19.,0,7
12:29,1,Rush,8,Chad Simpson rush for 8 yards to the Wpg27. Tackled by Markeith Knowlton.,0,7
11:50,2,Rush,17,Chad Simpson rush for 17 yards to the Wpg44. Tackled by Eric Norwood.,0,7
11:15,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,0,7
11:06,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,0,7
10:44,3,Offside,-5,Penalty: Offside on Winnipeg (Henoc Muamba) -5 yards.,0,7
10:17,3,Punt,0,Mike Renaud punts for 27 yards to Ham44. No return.,0,7
09:57,1,Sack,-7,Sack at Ham37 for a loss of 7 yards by Alex Hall.,0,7
09:25,2,Sack,-13,Sack at Ham24 for a loss of 13 yards by Alex Hall.,0,7
08:45,3,Holding,60,Josh Bartel punts for 50 yards to Wpg36. Penalty: Holding on Winnipeg 10 yards.,0,7
08:22,1,Offside,5,Penalty: Offside on Hamilton (Craig Marshall) 5 yards.,0,7
08:12,1,Rush,-5,Chad Simpson rush for a loss of 5 yards to the Wpg26. Tackled by Erik Harris.,0,7
07:40,2,Pass,11,Buck Pierce pass to   for 11 yards to the Wpg37. Tackled by Evan McCollough.,0,7
06:52,1,Sack,-2,Sack at Wpg35 for a loss of 2 yards by Brian Bulcke.,0,7
06:10,2,Pass,7,Buck Pierce pass to   for 7 yards to the Wpg42. Tackled by Evan McCollough.,0,7
