Time,Down,Type,Yards,Details,Winnipeg,Hamilton
05:30,3,Interception,4,Mike Renaud pass intended for Brandon Stewart INTERCEPTED by Lindsey Lamar and returned for 4 yards. Tackled by Brandon Stewart.,0,7
05:00,1,Pass,14,Henry Burris pass to   for 14 yards to the Wpg52. Tackled by Terrell Parker.,0,7
04:10,1,Rush,6,rush for 6 yards to the Wpg46. Tackled by Henoc Muamba.,0,7
03:40,2,Pass,9,Henry Burris pass to   for 9 yards to the Wpg37. Tackled by Zach Anderson.,0,7
02:56,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Simon Charbonneau-Campeau.,0,7
02:32,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Ed Gant.,0,7
01:52,3,Field Goal Single,46,46 yard field goal attempt by Luca Congi is NO GOOD (Single).,0,8
01:52,1,Pass,10,Buck Pierce pass to Cory Watson for 10 yards to the Wpg47. Tackled by Craig Marshall.,0,8
01:04,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,0,8
00:49,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,0,8
00:29,3,No Yards,24,Mike Renaud punts for 39 yards to Ham24. Penalty: No Yards on Winnipeg (Dan West) -15 yards.,0,8
00:02,0,Pass Interference,26,Penalty: Pass Interference on Winnipeg (Cauchy Muamba) 26 yards.,0,8
00:01,1,Unnecessary Roughness,-14,rush for 1 yard to the Wpg44. Tackled by Terrell Parker. Penalty: Unnecessary Roughness on Hamilton (Bakari Grant) -15 yards.,0,8
15:00,2,Pass,13,Henry Burris pass to Ed Gant for 13 yards to the Wpg46. Tackled by Terrell Parker.,0,8
14:00,3,Punt Single,0,Josh Bartel punts for 55 yards to Wpg0. No return (Single).,0,9
13:35,1,Rush,75,Chad Simpson rush for 75 yards for a TOUCHDOWN.,6,9
13:35,0,Fumble,-12,"FUMBLE, recovered by Wpg (Mike Renaud). . Tackled by Delvin Breaux",6,9
13:17,0,Kickoff,23,Justin Palardy kicks off to the Ham15.   return for 23 yards to Ham38. Tackled by Michel-Pierre Pontbriand.,6,9
13:08,1,Pass,5,Henry Burris pass to Greg Ellingson for 5 yards to the Ham43. Tackled by Terrell Parker.,6,9
12:30,0,Holding,-10,Penalty: Holding on Hamilton (Greg Wojt) -10 yards.,6,9
12:00,2,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,6,9
11:40,2,Sack,-2,Sack at Ham36 for a loss of 2 yards by Henoc Muamba.,6,9
11:00,3,Punt,5,Josh Bartel punts for 44 yards to Wpg30. Jovon Johnson return for 5 yards to Wpg35. Tackled by Courtney Stephen.,6,9
10:49,1,Rush,5,Chad Simpson rush for 5 yards to the Wpg40. Tackled by Jamall Johnson.,6,9
10:12,2,Rush,9,Justin Goltz rush for 9 yards to the Wpg49.,6,9
09:55,1,Sack,-9,Sack at Wpg40 for a loss of 9 yards by Sam Scott.,6,9
09:06,2,Pass,18,Buck Pierce pass to Cory Watson for 18 yards to the Ham52. Tackled by Delvin Breaux.,6,9
08:46,0,Too Many Men on Field,10,Penalty: Too Many Men on Field on Hamilton 10 yards.,6,9
08:40,1,Rush,7,Will Ford rush for 7 yards to the Ham35. Tackled by Arthur Hobbs.,6,9
07:54,2,Rush,2,Will Ford rush for 2 yards to the Ham33. Tackled by Evan McCollough.,6,9
07:20,3,Missed Field Goal,33,33 yard field goal attempt by Justin Palardy is NO GOOD.,6,9
06:59,1,Pass,19,Henry Burris pass to Bakari Grant for 19 yards to the Ham44. Tackled by Brandon Stewart.,6,9
06:20,1,Pass,3,Henry Burris pass to Bakari Grant for 3 yards to the Ham47. Tackled by Cauchy Muamba.,6,9
05:46,2,Sack,-9,Sack at Ham38 for a loss of 9 yards by Dexter Davis.,6,9
05:19,3,Punt,44,Josh Bartel punts for 54 yards to Wpg18. Jovon Johnson return for 44 yards to Ham48. Tackled by Courtney Stephen.,6,9
04:46,1,Pass,6,Buck Pierce pass to Cory Watson for 6 yards to the Ham42. Tackled by Arthur Hobbs.,6,9
04:15,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Paul Swiston) -5 yards.,6,9
03:50,2,Pass,10,Buck Pierce pass to Cory Watson for 10 yards to the Ham37. Tackled by Evan McCollough.,6,9
03:30,1,Pass,30,Buck Pierce pass to Jade Etienne for 30 yards to the Ham7. Tackled by James Patrick.,6,9
02:25,1,Rush,7,Justin Goltz rush for 7 yards for a TOUCHDOWN.,12,9
02:25,0,Made Extra Point,0,Justin Palardy extra point is good.,13,9
02:24,0,Kickoff OOB,30,Justin Palardy kicks off to the Ham19. Penalty: Kickoff OOB on Winnipeg (Justin Palardy) -26 yards.,13,9
02:09,1,Pass,6,Henry Burris pass to Bakari Grant for 6 yards to the Ham51. Tackled by Desia Dunn.,13,9
01:53,2,Pass,20,Henry Burris pass to Ed Gant for 20 yards to the Wpg39. Tackled by Alex Suber.,13,9
01:45,1,Pass,21,Henry Burris pass to Bakari Grant for 21 yards to the Wpg18. Tackled by Jovon Johnson.,13,9
01:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for John Delahunt.,13,9
01:08,2,Pass,1,Henry Burris pass to   for 1 yard to the Wpg17. Tackled by Terrell Parker.,13,9
00:44,3,Missed Field Goal,24,Luca Congi 24 yard field goal attempt is GOOD.,13,12
00:44,1,Pass,9,Buck Pierce pass to   for 9 yards to the Wpg44. Tackled by Evan McCollough.,13,12
00:40,2,Pass,8,Buck Pierce pass to Jade Etienne for 8 yards to the Wpg52. Tackled by Erik Harris.,13,12
00:30,1,Pass,6,Buck Pierce pass to Chad Simpson for 6 yards to the Ham52. Tackled by Raymond Brown.,13,12
00:22,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Justin Sorensen) -5 yards.,13,12
00:18,2,Sack,-1,Sack at Wpg52 for a loss of 1 yard by Craig Marshall.,13,12
14:59,0,Kick Off Single,86,Luca Congi kicks off to the Wpg0 (Single).,13,13
14:59,1,Rush,-2,Chad Simpson rush for a loss of 2 yards to the Wpg33. Tackled by Eric Norwood.,13,13
14:25,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,13,13
13:59,3,No Yards,29,Mike Renaud punts for 34 yards to Ham43. Penalty: No Yards on Winnipeg -5 yards.,13,13
13:40,1,Rush,1,Lindsey Lamar rush for 1 yard to the Ham49. Tackled by Henoc Muamba.,13,13
13:10,2,Rush,7,Henry Burris rush for 7 yards to the Wpg54. Tackled by Demond Washington.,13,13
12:24,3,Punt Single,0,Josh Bartel punts for 68 yards to Wpg0. No return (Single).,13,14
12:24,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews defensed by Raymond Brown.,13,14
11:50,2,Sack,-7,Sack at Wpg28 for a loss of 7 yards by Markeith Knowlton.,13,14
11:15,3,Punt,16,Mike Renaud punts for 43 yards to Ham39. Lindsey Lamar return for 16 yards to Ham55. Tackled by Dan West.,13,14
10:51,1,Rush,0,Lindsey Lamar rush for no gain to the Ham55. Tackled by Desia Dunn.,13,14
10:10,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Simon Charbonneau-Campeau.,13,14
09:39,3,Punt,4,Josh Bartel punts for 40 yards to Wpg15. Jovon Johnson return for 4 yards to Wpg19. Tackled by James Patrick.,13,14
09:23,1,Pass,5,Buck Pierce pass to Cory Watson for 5 yards to the Wpg24. Tackled by Jamall Johnson.,13,14
08:54,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,13,14
08:40,3,Offside,-5,Penalty: Offside on Winnipeg (Cauchy Muamba) -5 yards.,13,14
08:37,3,Punt,5,Mike Renaud punts for 38 yards to Ham53. Lindsey Lamar return for 5 yards to Wpg52. Tackled by Pierre-Luc Labbe.,13,14
08:13,1,Pass,28,Henry Burris pass to Bakari Grant for 28 yards to the Wpg24. Tackled by Alex Suber.,13,14
07:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Simon Charbonneau-Campeau.,13,14
06:46,2,Pass,7,Henry Burris pass to Greg Ellingson for 7 yards to the Wpg17. Tackled by Alex Suber.,13,14
05:35,3,Missed Field Goal,24,Luca Congi 24 yard field goal attempt is GOOD.,13,17
05:35,1,Rush,-4,Chad Simpson rush for a loss of 4 yards to the Wpg31. Tackled by Eric Norwood.,13,17
05:10,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,13,17
04:46,3,No Yards,36,Mike Renaud punts for 41 yards to Ham38. Penalty: No Yards on Winnipeg (Brandon Stewart) -5 yards.,13,17
04:20,1,Pass,7,Henry Burris pass to Greg Ellingson for 7 yards to the Ham50. Tackled by Alex Suber.,13,17
03:41,2,Rush,1,rush for 1 yard to the Ham51. Tackled by Desia Dunn.,13,17
02:53,3,No Yards,40,Josh Bartel punts for 45 yards to Wpg14. Penalty: No Yards on Hamilton (Marc Beswick) -5 yards.,13,17
02:30,1,Rush,2,Will Ford rush for 2 yards to the Wpg21. Tackled by Jamall Johnson.,13,17
02:11,2,Pass,26,Buck Pierce pass to Chris Matthews for 26 yards to the Wpg47. Tackled by James Patrick.,13,17
01:59,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Clarence Denmark.,13,17
01:44,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews defensed by Evan McCollough.,13,17
01:20,3,Punt,9,Mike Renaud punts for 39 yards to Ham24. Lindsey Lamar return for 9 yards to Ham33. Tackled by Michel-Pierre Pontbriand.,13,17
00:54,1,Pass,13,Henry Burris pass to Ed Gant for 13 yards to the Ham46. Tackled by Jovon Johnson.,13,17
00:25,1,Rush,4,rush for 4 yards to the Ham50. Tackled by Jake Thomas.,13,17
00:02,2,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the Wpg49. Tackled by Jovon Johnson.,13,17
15:00,1,Pass,10,Henry Burris pass to Ed Gant for 10 yards to the Wpg39. Tackled by Henoc Muamba.,13,17
14:40,1,Pass,13,Henry Burris pass to Ed Gant for 13 yards to the Wpg26. Tackled by Marty Markett.,13,17
13:51,1,Sack,-4,Sack at Wpg30 for a loss of 4 yards by Kenny Mainor.,13,17
13:20,2,Pass,10,Henry Burris pass to   for 10 yards to the Wpg20. Tackled by Zach Anderson.,13,17
12:17,3,Field Goal Single,38,38 yard field goal attempt by Luca Congi is NO GOOD (Single).,13,18
12:17,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews defensed by Jamall Johnson.,13,18
12:07,2,Sack,-12,Sack at Wpg23 for a loss of 12 yards by  .,13,18
11:20,3,No Yards,37,Mike Renaud punts for 42 yards to Ham45. Penalty: No Yards on Winnipeg -5 yards.,13,18
11:00,1,Illegal Block,18,Henry Burris pass to Greg Ellingson for 28 yards to the Wpg32. Tackled by Desia Dunn. Penalty: Illegal Block on Hamilton (Simon Charbonneau-Campeau) -10 yards.,13,18
10:45,1,Sack,-3,Sack at Wpg45 for a loss of 3 yards by Marquis Frazier.,13,18
10:10,2,Pass,13,Henry Burris pass to Bakari Grant for 13 yards to the Wpg32.,13,18
09:39,1,Rush,8,Henry Burris rush for 8 yards to the Wpg24. Tackled by Pierre-Luc Labbe.,13,18
09:15,2,Pass,5,Henry Burris pass to Lindsey Lamar for 5 yards to the Wpg19. Tackled by Demond Washington.,13,18
08:34,0,Illegal Contact,0,Penalty: Holding on Hamilton (Brian Simmons) -10 yards. Penalty: Illegal Contact on Winnipeg (Desia Dunn) 10 yards.,13,18
08:09,1,Rush,15,Henry Burris rush for 15 yards to the Wpg4. Tackled by Alex Suber.,13,18
07:18,1,Sack,-8,Sack at Wpg12 for a loss of 8 yards by Alex Hall.,13,18
06:30,2,Unnecessary Roughness,27,Henry Burris pass to John Delahunt for 12 yards for a TOUCHDOWN. Penalty: Unnecessary Roughness on Winnipeg (Brandon Stewart) 15 yards.,13,24
05:50,0,Made Extra Point,0,Luca Congi extra point is good.,13,25
05:50,0,Kickoff,48,Luca Congi kicks off to the Wpg0. Will Ford return for 48 yards to Wpg48. Tackled by Erik Harris.,13,25
05:43,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg51. Tackled by Erik Harris.,13,25
05:05,2,Pass,23,Buck Pierce pass to Cory Watson for 23 yards to the Ham36. Tackled by Arthur Hobbs.,13,25
04:20,1,Pass,9,Buck Pierce pass to Chris Matthews for 9 yards to the Ham27. Tackled by Delvin Breaux.,13,25
03:53,2,Rush,1,Justin Goltz rush for 1 yard to the Ham26. Tackled by Eric Norwood.,13,25
03:34,1,Pass,8,Buck Pierce pass to Jade Etienne for 8 yards to the Ham18. Tackled by Erik Harris.,13,25
03:10,2,Rush,3,Chad Simpson rush for 3 yards to the Ham15. Tackled by Eric Norwood.,13,25
02:40,1,Rush,15,Chad Simpson rush for 15 yards for a TOUCHDOWN.,19,25
02:40,0,Made Extra Point,0,Justin Palardy extra point is good.,20,25
02:40,0,Kickoff OOB,30,Justin Palardy kicks off to the Ham26. Penalty: Kickoff OOB on Winnipeg (Justin Palardy) -19 yards.,20,25
02:40,1,Pass,0,Henry Burris pass to Lindsey Lamar for no gain to the Ham45. Tackled by Henoc Muamba.,20,25
02:24,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Brandon Stewart.,20,25
02:19,3,Punt,16,Josh Bartel punts for 45 yards to Wpg20. Jovon Johnson return for 16 yards to Wpg36. Tackled by Marc Beswick.,20,25
02:04,1,Rush,1,Chad Simpson rush for 1 yard to the Wpg37. Tackled by Eric Norwood.,20,25
01:59,2,Sack,-11,Sack at Wpg26 for a loss of 11 yards by Markeith Knowlton.,20,25
01:45,3,Punt,6,Mike Renaud punts for 56 yards to Ham28. Lindsey Lamar return for 6 yards to Ham34. Tackled by Henoc Muamba.,20,25
01:22,1,Rush,1,rush for 1 yard to the Ham35. Tackled by Demond Washington.,20,25
01:20,2,Rush,10,Henry Burris rush for 10 yards to the Ham45. Tackled by Marty Markett.,20,25
01:13,1,Rush,4,Lindsey Lamar rush for 4 yards to the Ham49. Tackled by Demond Washington.,20,25
00:50,2,Pass,28,Henry Burris pass to Samuel Giguere for 28 yards to the Wpg33. Tackled by Jovon Johnson.,20,25
00:24,1,Rush,11,Lindsey Lamar rush for 11 yards to the Wpg22. Tackled by Henoc Muamba.,20,25
