Time,Down,Type,Yards,Details,Winnipeg,Calgary
05:35,1,Rush,9,Will Ford rush for 9 yards to the Wpg35. Tackled by Eric Fraser.,3,18
05:15,2,Rush,13,Will Ford rush for 13 yards to the Wpg48. Tackled by Eric Fraser.,3,18
04:53,1,Pass,0,Max Hall pass to Clarence Denmark for no gain to the Wpg48. Tackled by Derrius Brooks.,3,18
04:29,2,Pass,12,Max Hall pass to Aaron Kelly for 12 yards to the Cgy50. Tackled by Chris Randle.,3,18
04:08,1,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,3,18
03:46,2,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles defensed by Cordarro Law.,3,18
02:59,3,Punt Single,0,Mike Renaud punts for 66 yards to Cgy0. No return (Single).,4,18
02:59,1,Pass,11,Kevin Glenn pass to Joe West for 11 yards to the Cgy46. Tackled by Johnny Sears.,4,18
02:42,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy49. Tackled by Henoc Muamba.,4,18
02:27,2,Rush,25,Jon Cornish rush for 25 yards to the Wpg36. Tackled by Johnny Sears.,4,18
02:02,1,Pass,12,Kevin Glenn pass to Brad Sinopoli for 12 yards to the Wpg24. Tackled by Pierre-Luc Labbe.,4,18
01:19,1,Pass,24,Kevin Glenn pass to Maurice Price for 24 yards for a TOUCHDOWN.,4,24
01:19,0,Made Extra Point,0,Rene Paredes extra point is good.,4,25
01:19,0,Kickoff,21,Rene Paredes kicks off to the Wpg17. Will Ford return for 21 yards to Wpg38. Tackled by Fred Bennett.,4,25
01:13,1,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,4,25
01:07,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,4,25
01:02,3,Punt,5,Mike Renaud punts for 42 yards to Cgy30. Larry Taylor return for 5 yards to Cgy35. Tackled by James Green.,4,25
00:52,1,Pass,14,Kevin Glenn pass to Brad Sinopoli for 14 yards to the Cgy49. Tackled by Jovon Johnson.,4,25
00:43,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West defensed by Pierre-Luc Labbe.,4,25
00:35,2,Rush,7,Matt Walter rush for 7 yards to the Wpg54. Tackled by Alex Hall.,4,25
00:29,3,Punt,9,Rob Maver punts for 42 yards to Wpg12. Jovon Johnson return for 9 yards to Wpg21. Tackled by Matt Walter.,4,25
00:02,1,Rush,18,Will Ford rush for 18 yards to the Wpg39. Tackled by Jamar Wall.,4,25
15:00,0,Kickoff,16,Rene Paredes kicks off to the Wpg18. Will Ford return for 16 yards to Wpg34. Tackled by Yannick Carter.,4,25
14:55,1,Rush,14,Will Ford rush for 14 yards to the Wpg48. Tackled by  .,4,25
14:15,1,Rush,-4,Clarence Denmark rush for a loss of 4 yards to the Wpg44. Tackled by Fred Bennett.,4,25
13:25,2,Pass,13,Max Hall pass to Cory Watson for 13 yards to the Cgy53. Tackled by Jamar Wall.,4,25
12:57,3,Rush,1,Jason Boltus rush for 1 yard to the Cgy52. Tackled by Charleston Hughes.,4,25
12:27,1,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,4,25
12:06,2,Interception,5,Max Hall pass intended for Clarence Denmark INTERCEPTED by Derrius Brooks and returned for 5 yards. Tackled by Clarence Denmark.,4,25
11:41,1,Rush,13,Jon Cornish rush for 13 yards to the Wpg51. Tackled by Henoc Muamba.,4,25
11:10,1,Rush,7,Jon Cornish rush for 7 yards to the Wpg44. Tackled by Michel-Pierre Pontbriand.,4,25
10:44,2,Unnecessary Roughness,33,Jon Cornish rush for 22 yards to the Wpg22. Tackled by Cauchy Muamba. Penalty: Unnecessary Roughness on Winnipeg (Cauchy Muamba) 11 yards.,4,25
10:23,1,Rush,4,Kevin Glenn rush for 4 yards to the Wpg7. Tackled by Zach Anderson.,4,25
09:46,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur defensed by Jovon Johnson.,4,25
09:04,3,Missed Field Goal,14,Rene Paredes 14 yard field goal attempt is GOOD.,4,28
09:04,0,Kickoff,27,Rene Paredes kicks off to the Wpg13. Teague Sherman return for 27 yards to Wpg40. Tackled by Tim St. Pierre.,4,28
08:57,1,Pass,6,Max Hall pass to Cory Watson for 6 yards to the Wpg46. Tackled by Jamar Wall.,4,28
08:23,2,Pass,12,Max Hall pass to Clarence Denmark for 12 yards to the Cgy52. Tackled by Derrius Brooks.,4,28
07:46,1,Rush,11,Will Ford rush for 11 yards to the Cgy41. Tackled by Deron Mayo.,4,28
07:10,1,Rush,6,Will Ford rush for 6 yards to the Cgy35. Tackled by  .,4,28
06:25,2,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles defensed by Chris Randle.,4,28
06:10,3,Holding,16,48 yard field goal attempt by Sandro DeAngelis is NO GOOD.  Missed field goal returned by Larry Taylor to the Cgy6. Penalty: Holding on Calgary (Chris Randle) -3 yards.,4,28
05:40,1,Pass,7,Kevin Glenn pass to Joe West for 7 yards to the Cgy10. Tackled by Henoc Muamba.,4,28
05:15,2,Rush,24,Jon Cornish rush for 24 yards to the Cgy34. Tackled by Cauchy Muamba.,4,28
04:40,1,Offside,5,Penalty: Offside on Winnipeg (Henoc Muamba) 5 yards.,4,28
04:30,1,Pass,35,Kevin Glenn pass to Joe West for 35 yards to the Wpg36. Tackled by Johnny Sears.,4,28
03:54,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,4,28
03:05,2,Pass,36,Kevin Glenn pass to Marquay McDaniel for 36 yards for a TOUCHDOWN.,4,34
02:43,0,Made Extra Point,0,Rene Paredes extra point is good.,4,35
02:29,0,Kickoff,100,Rene Paredes kicks off to the Wpg10. Will Ford return for 100 yards to Cgy0 for a TOUCHDOWN.,10,35
02:12,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,11,35
02:12,0,Kickoff,16,Sandro DeAngelis kicks off to the Cgy7. Larry Taylor return for 16 yards to Cgy23. Tackled by Brandon Stewart.,11,35
02:06,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Cgy22. Tackled by Henoc Muamba.,11,35
01:26,2,Pass,10,Kevin Glenn pass to Marquay McDaniel for 10 yards to the Cgy32. Tackled by Johnny Sears.,11,35
00:43,3,Punt,0,Rob Maver punts for 28 yards to Wpg50. No return.,11,35
00:25,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Derrius Brooks.,11,35
00:01,2,Sack,-7,Sack at Wpg43 for a loss of 7 yards by Cordarro Law.,11,35
15:00,3,Punt,-1,Mike Renaud punts for 29 yards to Cgy38. Larry Taylor return for a loss of 1 yard to Cgy37. Tackled by Teague Sherman.,11,35
14:36,1,Rush,30,Jon Cornish rush for 30 yards to the Wpg43. Tackled by Cauchy Muamba.,11,35
13:45,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,11,35
13:32,2,Pass,4,Kevin Glenn pass to Maurice Price for 4 yards to the Wpg39. Tackled by Jovon Johnson.,11,35
12:34,3,Missed Field Goal,46,Rene Paredes 46 yard field goal attempt is GOOD.,11,38
12:34,1,Rush,0,Will Ford rush for no gain to the Wpg35. Tackled by Cordarro Law.,11,38
11:50,2,Pass,5,Max Hall pass to Will Ford for 5 yards to the Wpg40. Tackled by Cordarro Law.,11,38
11:22,3,Punt,2,Mike Renaud punts for 35 yards to Cgy35. Larry Taylor return for 2 yards to Cgy37. Tackled by Alex Suber.,11,38
11:01,1,Rush,5,Matt Walter rush for 5 yards to the Cgy42. Tackled by Desia Dunn.,11,38
10:28,2,Rush,2,Matt Walter rush for 2 yards to the Cgy44. Tackled by Alex Suber.,11,38
