Time,Down,Type,Yards,Details,Winnipeg,Montreal
15:00,0,Kickoff,24,Sean Whyte kicks off to the Wpg15. Will Ford return for 24 yards to Wpg39. Tackled by Bear Woods.,0,0
14:54,1,Pass,6,Max Hall pass to Aaron Kelly for 6 yards to the Wpg45. Tackled by Shea Emry.,0,0
14:26,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,0,0
13:50,3,Holding,58,Mike Renaud punts for 52 yards to Mtl13. Penalty: Holding on Montreal 6 yards.,0,0
13:21,1,Rush,8,Tyrell Sutton rush for 8 yards to the Mtl15. Tackled by Greg Peach.,0,0
12:53,2,Rush,3,Jerome Messam rush for 3 yards to the Mtl18. Tackled by  .,0,0
12:07,1,Interception,17,Josh Neiswander pass intended for Arland Bruce INTERCEPTED by Desia Dunn and returned for 17 yards. Tackled by Kristian Matte.,0,0
11:22,1,Rush,1,Will Ford rush for 1 yard to the Mtl9. Tackled by Geoff Tisdale.,0,0
11:09,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,0,0
10:36,3,Missed Field Goal,16,Sandro DeAngelis 16 yard field goal attempt is GOOD.,3,0
10:32,1,Rush,1,Duron Carter rush for 1 yard to the Mtl36. Tackled by Demond Washington.,3,0
10:19,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers defensed by Ian Wild.,3,0
09:43,3,Punt,2,Sean Whyte punts for 47 yards to Wpg27. Jovon Johnson return for 2 yards to Wpg29. Tackled by Nicolas Boulay.,3,0
09:22,1,Rush,-1,Will Ford rush for a loss of 1 yard to the Wpg28. Tackled by Kyries Hebert.,3,0
09:00,0,Pass Interference,-10,Penalty: Pass Interference on Montreal (Shea Emry) -10 yards.,3,0
08:19,1,Rush,2,Will Ford rush for 2 yards to the Wpg40. Tackled by Shea Emry.,3,0
07:53,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,3,0
07:20,3,Punt,5,Mike Renaud punts for 49 yards to Mtl21. Tyron Carrier return for 5 yards to Mtl26. Tackled by Ian Wild.,3,0
06:55,1,Pass,3,Josh Neiswander pass to Arland Bruce for 3 yards to the Mtl29. Tackled by Alex Suber.,3,0
06:42,0,Pass Interference,10,Penalty: Pass Interference on Winnipeg (Demond Washington) 10 yards.,3,0
06:22,1,Rush,1,Jerome Messam rush for 1 yard to the Mtl40. Tackled by Desia Dunn.,3,0
05:59,2,Pass,25,Josh Neiswander pass to Eric Deslauriers for 25 yards to the Wpg45. Tackled by Desia Dunn.,3,0
05:19,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Arland Bruce.,3,0
04:39,2,Pass,9,Josh Neiswander pass to Jerome Messam for 9 yards to the Wpg36. Tackled by Ian Wild.,3,0
04:08,0,Fumble,-1,"FUMBLE, recovered by Mtl (Troy Smith). . Tackled by Demond Washington",3,0
03:13,1,Rush,3,Will Ford rush for 3 yards to the Wpg40. Tackled by Shea Emry.,3,0
02:41,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,3,0
02:20,3,Punt,5,Mike Renaud punts for 45 yards to Mtl25. Tyron Carrier return for 5 yards to Mtl30. Tackled by Johnny Sears.,3,0
02:01,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Jerome Messam defensed by Ian Wild.,3,0
