Time,Down,Type,Yards,Details,Calgary,Winnipeg
08:25,1,Pass,0,Bo Levi Mitchell pass to Rob Cote for no gain to the Wpg30. Tackled by Ian Wild.,8,14
08:00,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,8,14
07:20,3,Missed Field Goal,37,Rene Paredes 37 yard field goal attempt is GOOD.,11,14
07:20,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for  .,11,14
07:02,2,Pass,8,Justin Goltz pass to Chad Simpson for 8 yards to the Wpg43. Tackled by Deron Mayo.,11,14
06:24,3,Punt,11,Mike Renaud punts for 41 yards to Cgy26. Larry Taylor return for 11 yards to Cgy37. Tackled by Brandon Stewart.,11,14
05:54,1,Rush,9,Jon Cornish rush for 9 yards to the Cgy46. Tackled by Ian Wild.,11,14
05:15,2,Rush,1,Bo Levi Mitchell rush for 1 yard to the Cgy47. Tackled by Henoc Muamba.,11,14
04:36,3,Rush,2,Bo Levi Mitchell rush for 2 yards to the Cgy49. Tackled by Ian Wild.,11,14
04:10,1,Pass,5,Bo Levi Mitchell pass to Tim Hawthorne for 5 yards to the Cgy54. Tackled by Henoc Muamba.,11,14
03:37,2,Pass,18,Bo Levi Mitchell pass to Marquay McDaniel for 18 yards to the Wpg38. Tackled by Cauchy Muamba.,11,14
03:00,1,Pass,10,Bo Levi Mitchell pass to Jabari Arthur for 10 yards to the Wpg28. Tackled by Cauchy Muamba.,11,14
02:44,1,Rush,14,Jon Cornish rush for 14 yards to the Wpg14. Tackled by Cauchy Muamba.,11,14
02:24,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Wpg15. Tackled by Ian Wild.,11,14
02:03,2,Rush,3,Bo Levi Mitchell rush for 3 yards to the Wpg12. Tackled by Freddie Harris.,11,14
01:22,3,Missed Field Goal,19,Rene Paredes 19 yard field goal attempt is GOOD.,14,14
01:22,1,Sack,-5,Sack at Wpg30 for a loss of 5 yards by Keon Raymond.,14,14
01:05,2,Rush,0,Justin Goltz rush for no gain to the Wpg30. Tackled by Demonte' Bolden.,14,14
00:53,3,Punt,5,Mike Renaud punts for 41 yards to Cgy39. Larry Taylor return for 5 yards to Cgy44. Tackled by Ian Wild.,14,14
00:45,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jon Cornish.,14,14
00:41,2,Pass,13,Bo Levi Mitchell pass to Greg Carr for 13 yards to the Wpg53. Tackled by Alex Suber.,14,14
00:35,1,Pass,12,Bo Levi Mitchell pass to Jon Cornish for 12 yards to the Wpg41. Tackled by Henoc Muamba.,14,14
00:24,1,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the Wpg35. Tackled by Marty Markett.,14,14
00:21,0,Illegal Contact,10,Penalty: Illegal Contact on Winnipeg (Cauchy Muamba) 10 yards.,14,14
00:09,1,Rush,6,Jon Cornish rush for 6 yards to the Wpg19. Tackled by Demond Washington.,14,14
00:00,2,Missed Field Goal,26,Rene Paredes 26 yard field goal attempt is GOOD.,17,14
15:00,0,Kickoff,0,"Justin Palardy kicks off to the Cgy28. Larry Taylor - no return., recovered by Cgy (Larry Taylor).",17,14
14:56,1,Rush,14,Jon Cornish rush for 14 yards to the Cgy42. Tackled by Jovon Johnson.,17,14
14:16,1,Pass,2,Bo Levi Mitchell pass to Jabari Arthur for 2 yards to the Cgy44. Tackled by Marty Markett.,17,14
13:42,2,Pass,14,Bo Levi Mitchell pass to Jon Cornish for 14 yards to the Wpg52. Tackled by Demond Washington.,17,14
13:14,1,Rush,10,Anthony Parker rush for 10 yards to the Wpg42. Tackled by Cauchy Muamba.,17,14
12:45,1,Rush,9,Jon Cornish rush for 9 yards to the Wpg33. Tackled by Marty Markett.,17,14
12:05,2,Rush,8,Jon Cornish rush for 8 yards to the Wpg25. Tackled by Teague Sherman.,17,14
11:25,1,Pass,8,Bo Levi Mitchell pass to Brad Sinopoli for 8 yards to the Wpg17. Tackled by Marty Markett.,17,14
10:47,2,Rush,2,Matt Walter rush for 2 yards to the Wpg15. Tackled by Henoc Muamba.,17,14
09:44,1,Pass,15,Bo Levi Mitchell pass to Anthony Parker for 15 yards for a TOUCHDOWN.,23,14
09:26,0,Made Extra Point,0,Rene Paredes extra point is good.,24,14
09:26,0,Kickoff,17,Rene Paredes kicks off to the Wpg11.   return for 17 yards to Wpg28. Tackled by Karl McCartney.,24,14
09:13,1,Rush,10,Justin Goltz rush for 10 yards to the Wpg38. Tackled by Brandon Smith.,24,14
09:03,1,Rush,7,Chad Simpson rush for 7 yards to the Wpg45. Tackled by Cordarro Law.,24,14
08:30,2,Rush,5,Chad Simpson rush for 5 yards to the Wpg50. Tackled by Cordarro Law.,24,14
07:59,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Rory Kohlert defensed by Fred Bennett.,24,14
07:30,2,Pass,16,Justin Goltz pass to Isaac Anderson for 16 yards to the Cgy44. Tackled by Deron Mayo.,24,14
07:02,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Isaac Anderson.,24,14
06:56,2,Pass,8,Justin Goltz pass to   for 8 yards to the Cgy36. Tackled by Brandon Smith.,24,14
06:19,3,Sack,-1,Sack at Cgy37 for a loss of 1 yard by Keon Raymond.,24,14
06:03,1,Face Mask,18,Brad Sinopoli rush for 3 yards to the Cgy40. Tackled by Ian Wild. Penalty: Face Mask on Winnipeg (Demond Washington) 15 yards.,24,14
05:44,1,Rush,8,Jon Cornish rush for 8 yards to the Wpg47. Tackled by Alex Hall.,24,14
