Time,Down,Type,Yards,Details,Edmonton,Winnipeg
06:01,3,Time Count,-5,Penalty: Time Count on Winnipeg (Mike Renaud) -5 yards.,3,20
05:39,3,No Yards,31,Mike Renaud punts for 36 yards to Edm43. Penalty: No Yards on Winnipeg (James Green) -5 yards.,3,20
05:24,1,Pass,13,Mike Reilly pass to Shamawd Chambers for 13 yards to the Wpg49. Tackled by Marty Markett.,3,20
04:47,1,Rush,1,Hugh Charles rush for 1 yard to the Wpg48. Tackled by Henoc Muamba.,3,20
04:14,2,Pass,19,Mike Reilly pass to Marcus Henry for 19 yards to the Wpg29. Tackled by Alex Suber.,3,20
03:32,1,Unnecessary Roughness,14,Mike Reilly incomplete pass intended for Fred Stamps. Penalty: Unnecessary Roughness on Winnipeg (Greg Peach) 14 yards.,3,20
03:03,1,Pass,4,Mike Reilly pass to Hugh Charles for 4 yards to the Wpg11. Tackled by Ian Wild.,3,20
02:47,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,3,20
02:26,3,Field Goal Single,31,31 yard field goal attempt by Hugh O'Neill is NO GOOD (Single).,4,20
02:26,1,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark.,4,20
02:23,2,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Wpg44. Tackled by Eric Samuels.,4,20
02:17,3,Punt,5,Mike Renaud punts for 39 yards to Edm27. Jamal Miles return for 5 yards to Edm32. Tackled by Michel-Pierre Pontbriand.,4,20
01:48,1,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm39. Tackled by Ian Wild.,4,20
01:39,2,Sack,-4,Sack at Edm35 for a loss of 4 yards by Greg Peach.,4,20
01:18,3,No Yards,28,Grant Shaw punts for 33 yards to Wpg42. Penalty: No Yards on Edmonton -5 yards.,4,20
01:07,1,Holding,25,Max Hall pass intended for Aaron Kelly INTERCEPTED by J.C. Sherritt and returned for 35 yards. Tackled by Aaron Kelly. Penalty: Holding on Edmonton (Chris Thompson) -10 yards.,4,20
00:55,1,Pass,13,Mike Reilly pass to Calvin McCarty for 13 yards to the Wpg12.,4,20
00:23,1,Pass,12,Mike Reilly pass to Adarius Bowman for 12 yards for a TOUCHDOWN.,10,20
00:23,0,Made Extra Point,0,Hugh O'Neill extra point is good.,11,20
00:23,0,Kickoff,12,Grant Shaw kicks off to the Wpg20. Clarence Denmark return for 12 yards to Wpg32. Tackled by Matt Carter.,11,20
15:00,0,Kickoff,13,Sandro DeAngelis kicks off to the Edm29. Joe Burnett return for 13 yards to Edm42. Tackled by Desia Dunn.,11,20
14:28,1,Fumble,54,"Mike Reilly pass to Fred Stamps for 6 yards to the Edm48. FUMBLE, recovered by Wpg (Jovon Johnson) and returned for 48 yards for a TOUCHDOWN.",11,26
14:16,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,11,27
14:16,0,Kickoff,14,Sandro DeAngelis kicks off to the Edm23. Joe Burnett return for 14 yards to Edm37. Tackled by Rene Stephan.,11,27
14:11,1,Pass,1,Mike Reilly pass to Calvin McCarty for 1 yard to the Edm38. Tackled by Desia Dunn.,11,27
13:33,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Calvin McCarty) -5 yards.,11,27
13:16,2,Pass,7,Mike Reilly pass to Nate Coehoorn for 7 yards to the Edm40. Tackled by Pierre-Luc Labbe.,11,27
12:45,3,Punt,6,Grant Shaw punts for 38 yards to Wpg32. Demond Washington return for 6 yards to Wpg38. Tackled by Mike Miller.,11,27
12:14,1,Rush,0,Will Ford rush for no gain to the Wpg38. Tackled by Ted Laurent.,11,27
11:38,2,Rush,2,Will Ford rush for 2 yards to the Wpg40. Tackled by T.J. Hill.,11,27
11:12,3,Punt,1,Mike Renaud punts for 36 yards to Edm34. Jamal Miles return for 1 yard to Edm35. Tackled by Brandon Stewart.,11,27
10:53,1,Pass,10,Mike Reilly pass to Fred Stamps for 10 yards to the Edm45. Tackled by Alex Suber.,11,27
10:24,2,Rush,2,Kerry Joseph rush for 2 yards to the Edm47. Tackled by Pierre-Luc Labbe.,11,27
09:51,1,Pass,8,Mike Reilly pass to Fred Stamps for 8 yards to the Edm55.,11,27
09:35,2,Rush,9,Calvin McCarty rush for 9 yards to the Wpg46. Tackled by Henoc Muamba.,11,27
09:01,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,11,27
08:52,2,Sack,-9,Sack at Edm55 for a loss of 9 yards by Greg Peach.,11,27
08:28,3,Punt,6,Grant Shaw punts for 48 yards to Wpg7. Jovon Johnson return for 6 yards to Wpg13. Tackled by Ryan King.,11,27
08:10,1,Pass,18,Max Hall pass to Aaron Kelly for 18 yards to the Wpg31. Tackled by Joe Burnett.,11,27
07:32,1,Rush,8,Will Ford rush for 8 yards to the Wpg39. Tackled by J.C. Sherritt.,11,27
06:55,2,Pass,26,Max Hall pass to Clarence Denmark for 26 yards to the Edm45.,11,27
06:28,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Edm36. Tackled by Chris Thompson.,11,27
05:44,2,Rush,2,Jason Boltus rush for 2 yards to the Edm34. Tackled by Damaso Munoz.,11,27
05:00,1,Face Mask,8,Max Hall pass intended for Terrence Edwards INTERCEPTED by Eric Samuels and returned for 23 yards. Tackled by Aaron Kelly. Penalty: Face Mask on Edmonton (Marcus Howard) -15 yards.,11,27
04:31,1,Rush,15,Hugh Charles rush for 15 yards to the Edm34. Tackled by Jovon Johnson.,11,27
03:55,1,Pass,42,Mike Reilly pass to Fred Stamps for 42 yards to the Wpg34. Tackled by Alex Suber.,11,27
03:30,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,11,27
03:09,2,Pass,6,Mike Reilly pass to Shamawd Chambers for 6 yards to the Wpg28. Tackled by Brandon Stewart.,11,27
02:16,3,Missed Field Goal,35,Hugh O'Neill 35 yard field goal attempt is GOOD.,14,27
02:19,1,Rush,0,Will Ford rush for no gain to the Wpg35. Tackled by Ted Laurent.,14,27
01:21,2,Sack,-10,Sack at Wpg25 for a loss of 10 yards by Odell Willis.,14,27
01:00,3,Punt,8,Mike Renaud punts for 38 yards to Edm47. Jamal Miles return for 8 yards to Edm55. Tackled by Michel-Pierre Pontbriand.,14,27
00:30,1,Rush,9,Hugh Charles rush for 9 yards to the Wpg46. Tackled by Jovon Johnson.,14,27
00:01,2,Fumble,1,"Kerry Joseph rush for 1 yard to the Wpg45. FUMBLE, recovered by Edm (Kerry Joseph).",14,27
15:00,3,Rush,2,Kerry Joseph rush for 2 yards to the Wpg43. Tackled by Ian Wild.,14,27
14:26,1,Rush,4,Hugh Charles rush for 4 yards to the Wpg39. Tackled by Desia Dunn.,14,27
13:52,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,14,27
13:20,3,Missed Field Goal,46,Hugh O'Neill 46 yard field goal attempt is GOOD.,17,27
13:20,1,Fumble,9,"Max Hall pass to Clarence Denmark for 9 yards to the Wpg44. FUMBLE, recovered by Edm (Donovan Alexander). Tackled by Tyson Pencer.",17,27
13:02,1,Pass,19,Mike Reilly pass to Marcus Henry for 19 yards to the Wpg25. Tackled by Marty Markett.,17,27
12:30,1,Pass,7,Mike Reilly pass to Marcus Henry for 7 yards to the Wpg18. Tackled by Demond Washington.,17,27
11:32,2,Fumble,4,"Hugh Charles rush for 4 yards to the Wpg14. FUMBLE, recovered by Wpg (Alex Suber). Tackled by Calvin McCarty.",17,27
11:06,1,Pass,6,Max Hall pass to Terrence Edwards for 6 yards to the Wpg20. Tackled by Marcell Young.,17,27
10:30,2,Incomplete Pass,0,Max Hall incomplete pass intended for   defensed by Eric Samuels.,17,27
09:59,3,Punt,11,Mike Renaud punts for 51 yards to Edm39. Jamal Miles return for 11 yards to Edm50. Tackled by James Green.,17,27
09:39,1,Pass,-4,Mike Reilly pass to Calvin McCarty for a loss of 4 yards to the Edm46. Tackled by Alex Suber.,17,27
09:23,0,Pass Interference,14,Penalty: Pass Interference on Winnipeg (Marty Markett) 14 yards.,17,27
08:59,1,Pass,1,Mike Reilly pass to Shamawd Chambers for 1 yard to the Wpg49. Tackled by Demond Washington.,17,27
08:29,2,Pass,7,Mike Reilly pass to Shamawd Chambers for 7 yards to the Wpg42. Tackled by Demond Washington.,17,27
